index,Age,Population,Year
61,61,404000.0000000003,1903
62,62,389000.00000000035,1903
63,63,368000.00000000023,1903
64,64,343999.99999999977,1903
65,65,323999.9999999999,1903
66,66,302999.9999999998,1903
67,67,281999.99999999994,1903
68,68,261999.99999999994,1903
69,69,243000.00000000003,1903
70,70,225000.00000000015,1903
71,71,205999.99999999988,1903
72,72,188999.99999999988,1903
73,73,172999.9999999999,1903
74,74,157999.99999999997,1903
75,75,113304.92431612335,1903
76,76,81253.12171524912,1903
77,77,58268.08288834306,1903
78,78,41785.01588418123,1903
79,79,29964.653086027152,1903
80,80,21488.016022991,1903
81,81,15409.2367904569,1903
82,82,11050.013116835016,1903
83,83,7923.919815903666,1903
84,84,5682.130897096383,1903
85,85,4074.4957203120553,1903
86,86,2921.6258671550386,1903
87,87,2094.878034368219,1903
88,88,1501.9993350545315,1903
89,89,1076.8332346306186,1903
90,90,771.9374555126828,1903
91,91,553.2901173753143,1903
92,92,396.493396171559,1903
93,93,284.05108614991997,1903
94,94,203.4162808686755,1903
95,95,145.59132315042035,1903
96,96,104.12379900305638,1903
97,97,74.38654320962324,1903
98,98,53.0613158104299,1903
99,99,37.768535374121775,1903
100,100,26.801752741737037,1903
0,0,1968999.9999999986,1904
1,1,1970999.9999999984,1904
2,2,1964999.9999999995,1904
3,3,1952999.9999999984,1904
4,4,1932999.9999999984,1904
5,5,1908999.999999999,1904
6,6,1880000.0000000002,1904
7,7,1848999.9999999986,1904
8,8,1816999.999999999,1904
9,9,1781999.9999999986,1904
10,10,1747999.9999999995,1904
11,11,1712000.0,1904
12,12,1683000.000000001,1904
13,13,1663999.9999999986,1904
14,14,1652999.9999999986,1904
15,15,1640000.0000000002,1904
16,16,1626999.9999999995,1904
17,17,1618999.9999999986,1904
18,18,1620000.0000000007,1904
19,19,1625000.0000000012,1904
20,20,1628000.0000000007,1904
21,21,1631999.9999999988,1904
22,22,1625000.0000000012,1904
23,23,1599000.0000000007,1904
24,24,1563000.000000001,1904
25,25,1525999.9999999988,1904
26,26,1487999.9999999995,1904
27,27,1445000.0000000012,1904
28,28,1400000.0000000007,1904
29,29,1350999.9999999998,1904
30,30,1301000.0000000005,1904
31,31,1249000.0000000002,1904
32,32,1206000.0,1904
33,33,1182000.000000001,1904
34,34,1166999.9999999998,1904
35,35,1150000.0000000005,1904
36,36,1137000.0000000005,1904
37,37,1115999.9999999993,1904
38,38,1083000.0000000002,1904
39,39,1043999.9999999992,1904
40,40,1007999.9999999998,1904
41,41,973000.0000000007,1904
42,42,936000.0000000008,1904
43,43,899999.9999999995,1904
44,44,864000.0000000002,1904
45,45,826999.9999999995,1904
46,46,790000.0000000003,1904
47,47,758999.9999999998,1904
48,48,737999.9999999997,1904
49,49,722999.9999999999,1904
50,50,709000.0000000003,1904
51,51,696000.0000000001,1904
52,52,674999.9999999998,1904
53,53,637999.9999999997,1904
54,54,594999.9999999997,1904
55,55,555000.0000000002,1904
56,56,512000.00000000023,1904
57,57,478000.0000000002,1904
58,58,457000.0000000003,1904
59,59,442000.00000000035,1904
60,60,426000.0000000002,1904
61,61,413000.00000000006,1904
62,62,396999.9999999998,1904
63,63,376000.0000000003,1904
64,64,353999.99999999977,1904
65,65,330999.9999999998,1904
66,66,310000.0000000002,1904
67,67,289999.9999999999,1904
68,68,270000.00000000006,1904
69,69,249000.00000000006,1904
70,70,231000.0000000001,1904
71,71,210999.99999999994,1904
72,72,194000.00000000006,1904
73,73,176000.00000000006,1904
74,74,158999.99999999997,1904
75,75,114002.06468298406,1904
76,76,81738.72966907534,1904
77,77,58606.05082756227,1904
78,78,42020.01500225473,1904
79,79,30127.895361329167,1904
80,80,21601.29436735912,1904
81,81,15487.75643588974,1904
82,82,11104.374820408178,1904
83,83,7961.508185355918,1904
84,84,5708.085701938483,1904
85,85,4092.3910262123663,1904
86,86,2933.9445722607743,1904
87,87,2103.3432174163527,1904
88,88,1507.8054536154834,1904
89,89,1080.807320221665,1904
90,90,774.6514103795337,1904
91,91,555.138879057023,1904
92,92,397.7492946702225,1904
93,93,284.9016083709138,1904
94,94,203.99028026288156,1904
95,95,145.97718995598973,1904
96,96,104.38204221027499,1904
97,97,74.55849192472341,1904
98,98,53.17512872398896,1904
99,99,37.843345036382786,1904
100,100,26.850519032498006,1904
0,0,2010000.0000000016,1905
1,1,2005999.9999999986,1905
2,2,1995000.0,1905
3,3,1977000.0000000016,1905
4,4,1956000.0000000002,1905
5,5,1929000.0000000014,1905
6,6,1898000.000000001,1905
7,7,1867000.0000000012,1905
8,8,1832000.0000000002,1905
9,9,1800000.000000001,1905
10,10,1764999.999999999,1905
11,11,1729999.9999999995,1905
12,12,1702999.999999999,1905
13,13,1685999.9999999998,1905
14,14,1678000.0,1905
15,15,1667999.9999999988,1905
16,16,1655999.9999999998,1905
17,17,1651999.9999999998,1905
18,18,1652999.9999999986,1905
19,19,1659999.9999999998,1905
20,20,1664999.9999999998,1905
21,21,1669999.9999999988,1905
22,22,1663999.9999999986,1905
23,23,1637999.9999999993,1905
24,24,1600000.0000000012,1905
25,25,1560999.9999999986,1905
26,26,1522999.9999999995,1905
27,27,1481000.0000000012,1905
28,28,1434000.000000001,1905
29,29,1383000.000000001,1905
30,30,1332000.0000000012,1905
31,31,1277000.0000000005,1905
32,32,1234999.9999999995,1905
33,33,1210000.0000000012,1905
34,34,1194999.999999999,1905
35,35,1181000.000000001,1905
36,36,1165999.999999999,1905
37,37,1146000.0000000002,1905
38,38,1112999.9999999995,1905
39,39,1070999.9999999993,1905
40,40,1031999.9999999997,1905
41,41,993999.9999999995,1905
42,42,955000.0000000001,1905
43,43,918999.9999999992,1905
44,44,884000.0000000002,1905
45,45,847999.9999999995,1905
46,46,811000.0000000001,1905
47,47,779000.0000000001,1905
48,48,758000.0000000006,1905
49,49,743999.9999999993,1905
50,50,729999.9999999998,1905
51,51,716000.0000000003,1905
52,52,695000.0,1905
53,53,657000.0,1905
54,54,612000.0000000003,1905
55,55,570000.0000000001,1905
56,56,526000.0000000001,1905
57,57,490000.0,1905
58,58,466999.99999999994,1905
59,59,450999.99999999965,1905
60,60,437000.00000000023,1905
61,61,423000.0,1905
62,62,405000.0000000001,1905
63,63,385999.99999999977,1905
64,64,362000.0,1905
65,65,339000.00000000023,1905
66,66,319000.0,1905
67,67,297000.0000000002,1905
68,68,276999.9999999998,1905
69,69,257000.00000000015,1905
70,70,235999.9999999999,1905
71,71,217000.00000000012,1905
72,72,199000.0000000001,1905
73,73,181000.00000000006,1905
74,74,163999.99999999988,1905
75,75,117485.95528605938,1905
76,76,84164.24693379035,1905
77,77,60293.2579810512,1905
78,78,43192.570718629206,1905
79,79,30941.98883339032,1905
80,80,22165.9230400154,1905
81,81,15878.929366478318,1905
82,82,11375.055947373638,1905
83,83,8148.573334435749,1905
84,84,5837.187315585375,1905
85,85,4181.3577423175375,1905
86,86,2995.1553713816743,1905
87,87,2145.384303434769,1905
88,88,1536.6257259671652,1905
89,89,1100.523557255132,1905
90,90,788.1089012736207,1905
91,91,564.3014445019571,1905
92,92,403.9703692864453,1905
93,93,289.1124729028215,1905
94,94,206.8306298855614,1905
95,95,147.88560387094302,1905
96,96,105.65859528126937,1905
97,97,75.4080317478822,1905
98,98,53.73714800189789,1905
99,99,38.21257101959989,1905
100,100,27.091082237493463,1905
0,0,2050000.000000001,1906
1,1,2039999.9999999998,1906
2,2,2024000.0,1906
3,3,2002000.0000000005,1906
4,4,1975999.9999999986,1906
5,5,1947000.0000000014,1906
6,6,1914000.0000000002,1906
7,7,1880999.9999999995,1906
8,8,1848000.0000000002,1906
9,9,1815000.0000000005,1906
10,10,1781999.9999999986,1906
11,11,1747999.9999999995,1906
12,12,1721999.9999999998,1906
13,13,1707999.9999999988,1906
14,14,1702000.000000001,1906
15,15,1695999.999999999,1906
16,16,1686999.9999999988,1906
17,17,1683999.9999999986,1906
18,18,1688000.0000000005,1906
19,19,1694999.9999999998,1906
20,20,1699000.0000000005,1906
21,21,1705000.0000000002,1906
22,22,1699000.0000000005,1906
23,23,1675000.0000000007,1906
24,24,1636000.000000001,1906
25,25,1596000.0000000012,1906
26,26,1558999.999999999,1906
27,27,1514999.9999999993,1906
28,28,1465999.9999999993,1906
29,29,1417000.0000000007,1906
30,30,1363000.0000000007,1906
31,31,1308000.000000001,1906
32,32,1263000.0000000005,1906
33,33,1238999.9999999993,1906
34,34,1226000.0000000002,1906
35,35,1210000.0000000012,1906
36,36,1198000.0000000002,1906
37,37,1177000.000000001,1906
38,38,1142000.0,1906
39,39,1096000.000000001,1906
40,40,1056000.000000001,1906
41,41,1012999.9999999999,1906
42,42,973999.9999999994,1906
43,43,937000.0000000003,1906
44,44,902000.0000000002,1906
45,45,867000.0000000006,1906
46,46,830999.9999999994,1906
47,47,800000.0000000005,1906
48,48,780000.0000000001,1906
49,49,765000.0000000003,1906
50,50,749999.9999999998,1906
51,51,737999.9999999997,1906
52,52,716000.0000000003,1906
53,53,677000.0000000002,1906
54,54,630000.0000000006,1906
55,55,583999.9999999995,1906
56,56,537000.0,1906
57,57,498999.9999999996,1906
58,58,474999.99999999977,1906
59,59,463000.0000000004,1906
60,60,446999.9999999999,1906
61,61,433000.0000000001,1906
62,62,416999.9999999998,1906
63,63,395000.00000000035,1906
64,64,371000.00000000006,1906
65,65,348999.99999999994,1906
66,66,327000.0000000001,1906
67,67,304999.99999999977,1906
68,68,284000.00000000023,1906
69,69,263000.0000000002,1906
70,70,242000.00000000017,1906
71,71,223000.00000000003,1906
72,72,203999.99999999985,1906
73,73,185000.00000000006,1906
74,74,167000.0000000001,1906
75,75,119574.86795631071,1906
76,76,85617.57831692652,1906
77,77,61303.51802942406,1906
78,78,43894.19196299238,1906
79,79,31428.7859179507,1906
80,80,22503.31991916211,1906
81,81,16112.517805883199,1906
82,82,11536.582873563331,1906
83,83,8260.127096389842,1906
84,84,5914.122920510726,1906
85,85,4234.339652387333,1906
86,86,3031.583128388425,1906
87,87,2170.386756526664,1906
88,88,1553.7539001593675,1906
89,89,1112.233136747776,1906
90,90,796.0959369365554,1906
91,91,569.735735137139,1906
92,92,407.6575583541801,1906
93,93,291.60652473403,1906
94,94,208.51179432908395,1906
95,95,149.01439903943245,1906
96,96,106.41314106552936,1906
97,97,75.90983630531751,1906
98,98,54.06889438138762,1906
99,99,38.430367740605305,1906
100,100,27.23288750617895,1906
0,0,2085999.9999999995,1907
1,1,2068999.999999999,1907
2,2,2049000.0000000014,1907
3,3,2022999.9999999981,1907
4,4,1993000.0000000016,1907
5,5,1962999.999999999,1907
6,6,1930000.0000000014,1907
7,7,1896000.0000000002,1907
8,8,1860999.9999999986,1907
9,9,1830000.0000000014,1907
10,10,1796999.9999999995,1907
11,11,1764999.999999999,1907
12,12,1740999.999999999,1907
13,13,1729999.9999999995,1907
14,14,1725999.999999999,1907
15,15,1720999.9999999998,1907
16,16,1715999.9999999988,1907
17,17,1714999.999999999,1907
18,18,1719999.9999999998,1907
19,19,1728000.0000000012,1907
20,20,1732999.999999999,1907
21,21,1738999.9999999993,1907
22,22,1733999.9999999998,1907
23,23,1709000.0000000005,1907
24,24,1669000.0000000014,1907
25,25,1630999.9999999993,1907
26,26,1592000.0000000007,1907
27,27,1547999.9999999998,1907
28,28,1497999.9999999993,1907
29,29,1445999.999999999,1907
30,30,1392000.000000001,1907
31,31,1334999.999999999,1907
32,32,1291999.9999999995,1907
33,33,1266999.9999999995,1907
34,34,1255999.999999999,1907
35,35,1240000.0000000005,1907
36,36,1227999.999999999,1907
37,37,1206999.999999999,1907
38,38,1169999.9999999998,1907
39,39,1122000.0000000007,1907
40,40,1077000.0,1907
41,41,1033000.0000000002,1907
42,42,992000.0000000005,1907
43,43,955000.0000000001,1907
44,44,920999.9999999997,1907
45,45,886999.9999999995,1907
46,46,851000.0000000003,1907
47,47,821999.9999999998,1907
48,48,800000.0000000005,1907
49,49,786000.0000000003,1907
50,50,771000.0000000001,1907
